school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0307,Govt. Elementary School Wali,Patiala,Rajpura,44,Secondary,Punjabi
SCH0308,Govt. Middle School Butala,Amritsar,Amritsar-II,236,Primary,Hindi
SCH0309,Govt. Primary School Garde,Ferozepur,Zira,368,Upper Primary,Hindi
SCH0310,Govt. Elementary School Nair,Sangrur,Malerkotla,409,Upper Primary,Punjabi
SCH0311,Govt. Elementary School Sarkar,Amritsar,Amritsar-II,425,Higher Secondary,Hindi
SCH0312,Govt. Primary School Sagar,Patiala,Samana,370,Secondary,English
SCH0313,Govt. Senior Secondary School Behl,Patiala,Nabha,422,Primary,Punjabi
SCH0314,Govt. Middle School Kakar,Patiala,Rajpura,366,Primary,Hindi
SCH0315,Govt. Primary School Chakraborty,Ferozepur,Unassigned,319,Higher Secondary,Punjabi
SCH0316,Govt. Elementary School Dhingra,Ludhiana,Doraha,150,Primary,Hindi
SCH0317,Govt. Middle School Purohit,Ferozepur,Unassigned,399,Upper Primary,Hindi
SCH0318,Govt. Elementary School Rout,Jalandhar,Nakodar,240,Primary,Hindi
SCH0319,Govt. Primary School Bassi,Ludhiana,Ludhiana-II,84,Primary,Hindi
SCH0320,Govt. Middle School Dave,Amritsar,Amritsar-I,402,Primary,English
SCH0321,Govt. Primary School Nayak,Jalandhar,Nakodar,104,Secondary,Punjabi
SCH0322,Govt. Primary School Tak,Moga,Nihal Singh Wala,179,Secondary,Hindi
SCH0323,Govt. Middle School Kapoor,Moga,Moga-I,295,Upper Primary,Hindi
SCH0324,Govt. Primary School Sundaram,Amritsar,Amritsar-II,419,Primary,Punjabi
SCH0325,Govt. Elementary School Babu,Moga,Nihal Singh Wala,116,Primary,Hindi
SCH0326,Govt. Primary School Balasubramanian,Ferozepur,Makhu,178,Secondary,Hindi
SCH0327,Govt. Middle School Muni,Ludhiana,Machhiwara,75,Secondary,Hindi
SCH0328,Govt. Senior Secondary School Sarraf,Sangrur,Sangrur,228,Secondary,Hindi
SCH0329,Govt. Elementary School Modi,Sangrur,Unassigned,415,Upper Primary,Hindi
SCH0330,Govt. Middle School Badami,Moga,Moga-I,211,Higher Secondary,Hindi
SCH0331,Govt. Primary School Raju,Patiala,Unassigned,291,Upper Primary,Hindi
SCH0332,Govt. Senior Secondary School Lad,Ferozepur,Makhu,274,Primary,Punjabi
SCH0333,Govt. Middle School Warrior,Amritsar,Amritsar-I,262,Upper Primary,Punjabi
SCH0334,Govt. Senior Secondary School Gole,Moga,Bagha Purana,271,Primary,Hindi
SCH0335,Govt. Primary School Kota,Amritsar,Amritsar-II,94,Higher Secondary,Hindi
SCH0336,Govt. Middle School Sridhar,Sangrur,Malerkotla,277,Primary,Hindi
SCH0337,Govt. Elementary School Bora,Ludhiana,Ludhiana-II,207,Upper Primary,English
SCH0338,Govt. Senior Secondary School Wali,Bathinda,Unassigned,55,Higher Secondary,Punjabi
SCH0339,Govt. Elementary School Zacharia,Jalandhar,Jalandhar-I,46,Upper Primary,Punjabi
SCH0340,Govt. Elementary School Manda,Bathinda,Bathinda,51,Upper Primary,Punjabi
SCH0341,Govt. Elementary School Virk,Moga,Moga-I,61,Primary,Punjabi
SCH0342,Govt. Senior Secondary School Kashyap,Sangrur,Sangrur,235,Upper Primary,Punjabi
SCH0343,Govt. Elementary School Bassi,Jalandhar,Jalandhar-I,354,Upper Primary,Hindi
SCH0344,Govt. Senior Secondary School Bala,Sangrur,Sangrur,84,Upper Primary,Hindi
SCH0345,Govt. Elementary School Mangal,Ludhiana,Machhiwara,440,Higher Secondary,Hindi
SCH0346,Govt. Primary School Peri,Moga,Nihal Singh Wala,178,Secondary,English
SCH0347,Govt. Primary School Mall,Ludhiana,Machhiwara,311,Upper Primary,Hindi
SCH0348,Govt. Elementary School Sarraf,Bathinda,Bathinda,431,Upper Primary,Hindi
SCH0349,Govt. Primary School Jaggi,Jalandhar,Jalandhar-II,343,Secondary,English
SCH0350,Govt. Primary School Mann,Jalandhar,Unassigned,292,Upper Primary,Hindi
SCH0351,Govt. Senior Secondary School Morar,Patiala,Patiala,309,Secondary,English
SCH0352,Govt. Middle School Jayaraman,Jalandhar,Nakodar,70,Upper Primary,English
SCH0353,Govt. Elementary School Parikh,Ferozepur,Ferozepur,212,Upper Primary,Punjabi
SCH0354,Govt. Senior Secondary School Kakar,Moga,Moga-II,402,Secondary,English
SCH0355,Govt. Primary School Tripathi,Jalandhar,Jalandhar-II,413,Higher Secondary,English
SCH0356,Govt. Middle School Brahmbhatt,Patiala,Patiala,294,Primary,Punjabi
SCH0357,Govt. Middle School Bhatti,Moga,Nihal Singh Wala,45,Upper Primary,Punjabi
SCH0358,Govt. Elementary School Panchal,Ludhiana,Ludhiana-I,237,Higher Secondary,Punjabi
SCH0359,Govt. Primary School Bhavsar,Moga,Nihal Singh Wala,91,Upper Primary,Punjabi
SCH0360,Govt. Senior Secondary School Bhat,Bathinda,Bathinda,203,Primary,Hindi
SCH0361,Govt. Elementary School Bumb,Amritsar,Amritsar-I,213,Higher Secondary,Hindi
SCH0362,Govt. Elementary School Sinha,Ferozepur,Zira,67,Upper Primary,Hindi
SCH0363,Govt. Elementary School Sankar,Bathinda,Rampura Phul,192,Primary,English
SCH0364,Govt. Primary School Chowdhury,Ludhiana,Machhiwara,84,Higher Secondary,English
SCH0365,Govt. Middle School Bhavsar,Amritsar,Unassigned,99,Higher Secondary,Hindi
SCH0366,Govt. Primary School Hari,Ferozepur,Zira,229,Secondary,Punjabi
SCH0367,Govt. Primary School Vala,Bathinda,Unassigned,177,Upper Primary,English
SCH0368,Govt. Elementary School Raman,Ferozepur,Zira,323,Higher Secondary,Punjabi
SCH0369,Govt. Senior Secondary School Naik,Patiala,Rajpura,193,Primary,Punjabi
SCH0370,Govt. Primary School Pant,Jalandhar,Jalandhar-II,148,Upper Primary,Punjabi
SCH0371,Govt. Elementary School Baral,Patiala,Nabha,344,Primary,English
SCH0372,Govt. Senior Secondary School Mody,Sangrur,Sangrur,442,Higher Secondary,Hindi
SCH0373,Govt. Middle School Soman,Amritsar,Amritsar-I,328,Secondary,English
SCH0374,Govt. Elementary School Yohannan,Ferozepur,Mamdot,332,Primary,Hindi
SCH0375,Govt. Primary School Karan,Ferozepur,Ferozepur,242,Secondary,English
SCH0376,Govt. Elementary School Talwar,Moga,Moga-I,212,Secondary,Punjabi
SCH0377,Govt. Middle School Gandhi,Patiala,Nabha,193,Higher Secondary,Punjabi
SCH0378,Govt. Middle School Mitter,Amritsar,Amritsar-II,266,Higher Secondary,Hindi
SCH0379,Govt. Primary School Balay,Jalandhar,Jalandhar-I,199,Higher Secondary,Hindi
SCH0380,Govt. Middle School Minhas,Ludhiana,Ludhiana-II,56,Secondary,Punjabi
SCH0381,Govt. Elementary School Varma,Ferozepur,Ferozepur,388,Secondary,Punjabi
SCH0382,Govt. Primary School Lanka,Moga,Bagha Purana,123,Secondary,Punjabi
SCH0383,Govt. Senior Secondary School Sama,Ludhiana,Ludhiana-II,332,Upper Primary,English
SCH0384,Govt. Senior Secondary School Parekh,Ferozepur,Ferozepur,439,Primary,Hindi
SCH0385,Govt. Middle School Mane,Ludhiana,Ludhiana-II,169,Secondary,Punjabi
SCH0386,Govt. Elementary School Sama,Moga,Nihal Singh Wala,169,Secondary,Punjabi
SCH0387,Govt. Middle School Varty,Moga,Bagha Purana,192,Higher Secondary,English
SCH0388,Govt. Elementary School Saini,Bathinda,Rampura Phul,136,Upper Primary,Hindi
SCH0389,Govt. Primary School Borra,Ludhiana,Machhiwara,191,Higher Secondary,Hindi
SCH0390,Govt. Middle School Dutt,Patiala,Samana,411,Higher Secondary,Hindi
SCH0391,Govt. Senior Secondary School Lad,Jalandhar,Nakodar,89,Secondary,English
SCH0392,Govt. Middle School Kara,Amritsar,Amritsar-II,221,Secondary,Hindi
SCH0393,Govt. Senior Secondary School Bava,Bathinda,Talwandi Sabo,100,Primary,Punjabi
SCH0394,Govt. Senior Secondary School Bala,Bathinda,Talwandi Sabo,67,Upper Primary,Hindi
SCH0395,Govt. Elementary School Bose,Sangrur,Sunam,201,Upper Primary,Hindi
SCH0396,Govt. Senior Secondary School Deshmukh,Moga,Moga-I,42,Upper Primary,Hindi
SCH0397,Govt. Elementary School Raghavan,Sangrur,Sangrur,106,Higher Secondary,Punjabi
SCH0398,Govt. Primary School Narasimhan,Patiala,Samana,47,Upper Primary,Hindi
SCH0399,Govt. Middle School Konda,Patiala,Samana,199,Higher Secondary,Punjabi
SCH0400,Govt. Senior Secondary School Sastry,Bathinda,Rampura Phul,273,Secondary,Punjabi
SCH0401,Govt. Senior Secondary School Sunder,Moga,Moga-II,124,Higher Secondary,Hindi
SCH0402,Govt. Primary School Chakraborty,Patiala,Patiala,341,Primary,English
SCH0403,Govt. Primary School Garde,Ludhiana,Ludhiana-I,378,Primary,Punjabi
SCH0404,Govt. Primary School Keer,Amritsar,Ajnala,282,Upper Primary,Punjabi
SCH0405,Govt. Primary School Agarwal,Bathinda,Maur,254,Primary,Punjabi
SCH0406,Govt. Senior Secondary School Bhattacharyya,Sangrur,Sunam,351,Secondary,Punjabi
SCH0407,Govt. Elementary School Mitter,Bathinda,Maur,60,Upper Primary,Punjabi
SCH0408,Govt. Primary School Salvi,Ludhiana,Ludhiana-I,96,Higher Secondary,Punjabi
SCH0409,Govt. Primary School Puri,Amritsar,Unassigned,369,Secondary,Hindi
SCH0410,Govt. Primary School Bath,Ludhiana,Unassigned,224,Secondary,Punjabi
SCH0411,Govt. Elementary School Narayanan,Ludhiana,Ludhiana-II,379,Secondary,English
SCH0412,Govt. Elementary School Anand,Amritsar,Ajnala,215,Higher Secondary,Punjabi
SCH0413,Govt. Primary School Bhatnagar,Sangrur,Dhuri,372,Upper Primary,Hindi
SCH0414,Govt. Elementary School Goyal,Amritsar,Tarn Taran,342,Higher Secondary,Hindi
SCH0415,Govt. Elementary School Mandal,Ludhiana,Unassigned,287,Primary,English
SCH0416,Govt. Middle School Batra,Moga,Moga-I,400,Upper Primary,Hindi
SCH0417,Govt. Elementary School Ahuja,Amritsar,Tarn Taran,378,Higher Secondary,Hindi
SCH0418,Govt. Senior Secondary School Comar,Ludhiana,Unassigned,369,Higher Secondary,Punjabi
SCH0419,Govt. Elementary School Sarkar,Moga,Moga-II,209,Primary,Hindi
SCH0420,Govt. Elementary School Nair,Amritsar,Tarn Taran,267,Higher Secondary,Punjabi
SCH0421,Govt. Primary School Behl,Sangrur,Sangrur,92,Primary,Hindi
SCH0422,Govt. Primary School Rajan,Bathinda,Maur,375,Secondary,Punjabi
SCH0423,Govt. Senior Secondary School Master,Moga,Unassigned,406,Higher Secondary,English
SCH0424,Govt. Elementary School Baral,Bathinda,Rampura Phul,399,Upper Primary,Hindi
SCH0425,Govt. Senior Secondary School Wason,Patiala,Nabha,101,Higher Secondary,Punjabi
SCH0426,Govt. Elementary School Andra,Ferozepur,Ferozepur,364,Primary,Hindi
SCH0427,Govt. Elementary School Mangat,Jalandhar,Phillaur,42,Primary,Punjabi
SCH0428,Govt. Middle School Swamy,Jalandhar,Jalandhar-II,414,Primary,Punjabi
SCH0429,Govt. Elementary School Narain,Ferozepur,Zira,180,Secondary,Hindi
SCH0430,Govt. Senior Secondary School Dutt,Ferozepur,Makhu,399,Secondary,Hindi
SCH0431,Govt. Middle School Sarin,Bathinda,Rampura Phul,384,Upper Primary,English
SCH0432,Govt. Elementary School Sura,Sangrur,Dhuri,385,Secondary,Hindi
SCH0433,Govt. Senior Secondary School Hayre,Amritsar,Amritsar-I,235,Primary,English
SCH0434,Govt. Primary School Bandi,Jalandhar,Jalandhar-I,393,Upper Primary,Punjabi
SCH0435,Govt. Middle School Rama,Amritsar,Amritsar-II,420,Higher Secondary,Punjabi
SCH0436,Govt. Primary School Joshi,Ferozepur,Unassigned,253,Secondary,English
SCH0437,Govt. Senior Secondary School Loyal,Patiala,Rajpura,155,Secondary,Hindi
SCH0438,Govt. Senior Secondary School Chacko,Bathinda,Talwandi Sabo,130,Primary,Punjabi
SCH0439,Govt. Middle School Sankar,Ferozepur,Unassigned,259,Secondary,Punjabi
SCH0440,Govt. Middle School Devan,Jalandhar,Jalandhar-I,118,Primary,Hindi
SCH0441,Govt. Primary School Gara,Moga,Moga-I,441,Upper Primary,Hindi
SCH0442,Govt. Middle School Karpe,Ferozepur,Mamdot,87,Upper Primary,Hindi
SCH0443,Govt. Senior Secondary School Chakrabarti,Sangrur,Sangrur,98,Higher Secondary,English
SCH0444,Govt. Middle School Setty,Ferozepur,Ferozepur,237,Secondary,Hindi
SCH0445,Govt. Primary School Wason,Sangrur,Dhuri,62,Upper Primary,Hindi
SCH0446,Govt. Elementary School Kala,Ludhiana,Ludhiana-I,147,Upper Primary,Hindi
SCH0447,Govt. Middle School Dash,Ferozepur,Unassigned,422,Primary,Punjabi
SCH0448,Govt. Senior Secondary School Sandal,Ludhiana,Ludhiana-II,446,Primary,Punjabi
SCH0449,Govt. Primary School Keer,Ferozepur,Mamdot,362,Secondary,Hindi
SCH0450,Govt. Primary School Kurian,Amritsar,Amritsar-I,398,Secondary,English
SCH0451,Govt. Primary School Dasgupta,Amritsar,Ajnala,431,Higher Secondary,Hindi
SCH0452,Govt. Senior Secondary School Jaggi,Patiala,Nabha,422,Secondary,English
SCH0453,Govt. Primary School Mahal,Ludhiana,Ludhiana-II,103,Higher Secondary,English
SCH0454,Govt. Senior Secondary School Bala,Patiala,Rajpura,370,Upper Primary,English
SCH0455,Govt. Elementary School Borah,Patiala,Patiala,132,Primary,Punjabi
SCH0456,Govt. Middle School Bhatnagar,Bathinda,Bathinda,168,Higher Secondary,Hindi
SCH0457,Govt. Elementary School Varty,Amritsar,Ajnala,357,Upper Primary,English
SCH0458,Govt. Senior Secondary School Murty,Jalandhar,Nakodar,201,Upper Primary,Punjabi
SCH0459,Govt. Elementary School Mani,Bathinda,Rampura Phul,108,Secondary,English
SCH0460,Govt. Senior Secondary School Solanki,Sangrur,Sangrur,129,Primary,Hindi
SCH0461,Govt. Primary School Ramachandran,Bathinda,Bathinda,412,Primary,Hindi
SCH0462,Govt. Senior Secondary School Gulati,Ferozepur,Zira,58,Higher Secondary,Hindi
SCH0463,Govt. Primary School Rajagopalan,Bathinda,Maur,277,Primary,Hindi
SCH0464,Govt. Elementary School Khalsa,Jalandhar,Jalandhar-II,268,Upper Primary,Punjabi
SCH0465,Govt. Senior Secondary School Banerjee,Patiala,Rajpura,158,Secondary,English
SCH0466,Govt. Middle School Chand,Ferozepur,Mamdot,272,Primary,Hindi
SCH0467,Govt. Elementary School Krishnan,Bathinda,Rampura Phul,336,Upper Primary,Punjabi
SCH0468,Govt. Middle School Mishra,Bathinda,Talwandi Sabo,154,Secondary,Punjabi
SCH0469,Govt. Middle School Gera,Ludhiana,Ludhiana-II,265,Primary,Hindi
SCH0470,Govt. Elementary School Handa,Jalandhar,Nakodar,348,Primary,Punjabi
SCH0471,Govt. Elementary School Chad,Sangrur,Unassigned,285,Upper Primary,Punjabi
SCH0472,Govt. Senior Secondary School Nazareth,Jalandhar,Unassigned,108,Primary,English
SCH0473,Govt. Middle School Nori,Jalandhar,Phillaur,346,Primary,Hindi
SCH0474,Govt. Senior Secondary School Borra,Sangrur,Dhuri,286,Higher Secondary,Hindi
SCH0475,Govt. Primary School Prakash,Bathinda,Maur,410,Higher Secondary,Punjabi
SCH0476,Govt. Primary School Chowdhury,Jalandhar,Jalandhar-I,48,Higher Secondary,Hindi
SCH0477,Govt. Primary School Gupta,Ludhiana,Ludhiana-I,87,Upper Primary,Punjabi
SCH0478,Govt. Elementary School Padmanabhan,Ferozepur,Makhu,62,Higher Secondary,Punjabi
SCH0479,Govt. Primary School Tank,Moga,Moga-I,257,Higher Secondary,Hindi
SCH0480,Govt. Primary School Brar,Ferozepur,Makhu,136,Primary,Punjabi
SCH0481,Govt. Middle School Bhatti,Patiala,Samana,249,Upper Primary,Hindi
SCH0482,Govt. Elementary School Sibal,Ferozepur,Makhu,353,Higher Secondary,Hindi
SCH0483,Govt. Middle School Varkey,Sangrur,Sunam,229,Higher Secondary,Punjabi
SCH0484,Govt. Elementary School Hayre,Jalandhar,Jalandhar-I,422,Upper Primary,Hindi
SCH0485,Govt. Senior Secondary School Gola,Ludhiana,Ludhiana-II,239,Primary,Hindi
SCH0486,Govt. Primary School Johal,Ferozepur,Ferozepur,72,Secondary,Punjabi
SCH0487,Govt. Senior Secondary School Keer,Bathinda,Bathinda,436,Higher Secondary,Hindi
SCH0488,Govt. Primary School Nayak,Bathinda,Maur,57,Upper Primary,Punjabi
SCH0489,Govt. Elementary School Pant,Jalandhar,Jalandhar-I,181,Secondary,Hindi
SCH0490,Govt. Middle School Dutta,Ludhiana,Ludhiana-I,86,Secondary,Hindi
SCH0491,Govt. Primary School Raman,Sangrur,Dhuri,334,Upper Primary,Hindi
SCH0492,Govt. Middle School Dalal,Bathinda,Rampura Phul,99,Secondary,Punjabi
SCH0493,Govt. Primary School Bhattacharyya,Sangrur,Sunam,427,Higher Secondary,English
SCH0494,Govt. Senior Secondary School Kurian,Amritsar,Tarn Taran,364,Upper Primary,Punjabi
SCH0495,Govt. Elementary School Sandal,Moga,Moga-I,398,Upper Primary,English
SCH0496,Govt. Middle School Hayre,Amritsar,Amritsar-II,283,Upper Primary,Hindi
SCH0497,Govt. Senior Secondary School Wali,Sangrur,Sunam,160,Secondary,Hindi
SCH0498,Govt. Elementary School Pillay,Moga,Moga-II,438,Primary,Hindi
SCH0499,Govt. Middle School Oak,Ludhiana,Machhiwara,230,Higher Secondary,Hindi
SCH0500,Govt. Elementary School Kala,Bathinda,Talwandi Sabo,153,Upper Primary,Hindi
SCH0501,Govt. Primary School Devi,Ludhiana,Doraha,241,Upper Primary,Punjabi
SCH0502,Govt. Middle School Yogi,Moga,Moga-I,46,Higher Secondary,English
SCH0503,Govt. Elementary School Lala,Jalandhar,Nakodar,161,Secondary,Punjabi
SCH0504,Govt. Senior Secondary School Barad,Moga,Bagha Purana,245,Upper Primary,English
SCH0505,Govt. Primary School Chakraborty,Patiala,Rajpura,235,Upper Primary,Punjabi
SCH0506,Govt. Primary School Parekh,Jalandhar,Nakodar,442,Secondary,Hindi
SCH0507,Govt. Middle School Gola,Ludhiana,Ludhiana-II,170,Primary,English
SCH0508,Govt. Senior Secondary School Kara,Bathinda,Rampura Phul,50,Secondary,Hindi
SCH0509,Govt. Elementary School Maharaj,Jalandhar,Nakodar,221,Higher Secondary,Punjabi
SCH0510,Govt. Middle School Kant,Bathinda,Talwandi Sabo,363,Upper Primary,Hindi
SCH0511,Govt. Middle School Kuruvilla,Ferozepur,Ferozepur,80,Upper Primary,Hindi
SCH0512,Govt. Elementary School Chana,Ferozepur,Makhu,267,Secondary,Hindi
SCH0513,Govt. Primary School Sachdeva,Ludhiana,Ludhiana-II,412,Secondary,Punjabi
SCH0514,Govt. Primary School Mahal,Amritsar,Amritsar-I,72,Higher Secondary,Hindi
SCH0515,Govt. Elementary School Rattan,Amritsar,Amritsar-I,174,Primary,Hindi
SCH0516,Govt. Middle School Misra,Bathinda,Talwandi Sabo,360,Upper Primary,English
SCH0517,Govt. Senior Secondary School Mangat,Sangrur,Dhuri,316,Higher Secondary,Punjabi
SCH0518,Govt. Elementary School Sibal,Ferozepur,Makhu,217,Upper Primary,Punjabi
SCH0519,Govt. Elementary School Palan,Bathinda,Maur,195,Upper Primary,Punjabi
SCH0520,Govt. Primary School Banerjee,Sangrur,Malerkotla,44,Secondary,Hindi
SCH0521,Govt. Senior Secondary School Sharaf,Ferozepur,Mamdot,242,Higher Secondary,Punjabi
SCH0522,Govt. Primary School Lalla,Patiala,Samana,185,Secondary,English
SCH0523,Govt. Primary School Hora,Amritsar,Tarn Taran,356,Higher Secondary,Hindi
SCH0524,Govt. Primary School Sabharwal,Ludhiana,Ludhiana-II,92,Upper Primary,Hindi
SCH0525,Govt. Elementary School Karpe,Ludhiana,Machhiwara,151,Secondary,Punjabi
SCH0526,Govt. Elementary School Raman,Ludhiana,Unassigned,81,Upper Primary,Punjabi
SCH0527,Govt. Senior Secondary School Bath,Jalandhar,Jalandhar-II,168,Primary,Punjabi
SCH0528,Govt. Senior Secondary School Sunder,Patiala,Patiala,141,Primary,English
SCH0529,Govt. Middle School Ganguly,Moga,Moga-II,362,Primary,Punjabi
SCH0530,Govt. Middle School Kata,Patiala,Patiala,160,Secondary,Punjabi
SCH0531,Govt. Senior Secondary School Acharya,Patiala,Patiala,61,Higher Secondary,Punjabi
SCH0532,Govt. Primary School Sahni,Patiala,Unassigned,295,Secondary,Hindi
SCH0533,Govt. Elementary School Tailor,Amritsar,Amritsar-II,289,Secondary,Punjabi
SCH0534,Govt. Elementary School Pau,Ferozepur,Makhu,410,Primary,Hindi
SCH0535,Govt. Elementary School Viswanathan,Sangrur,Sunam,330,Secondary,Hindi
SCH0536,Govt. Middle School Chandran,Jalandhar,Jalandhar-I,311,Secondary,Hindi
SCH0537,Govt. Senior Secondary School Jayaraman,Ferozepur,Zira,49,Secondary,Punjabi
SCH0538,Govt. Middle School Wali,Ferozepur,Zira,308,Upper Primary,English
SCH0539,Govt. Senior Secondary School Kalita,Amritsar,Amritsar-I,307,Primary,Punjabi
SCH0540,Govt. Elementary School Dugal,Patiala,Patiala,288,Primary,Hindi
SCH0541,Govt. Senior Secondary School Badami,Bathinda,Bathinda,227,Primary,Punjabi
SCH0542,Govt. Primary School Balasubramanian,Sangrur,Sangrur,224,Higher Secondary,English
SCH0543,Govt. Primary School Dey,Ludhiana,Ludhiana-I,195,Upper Primary,Hindi
SCH0544,Govt. Senior Secondary School Khalsa,Ferozepur,Zira,138,Upper Primary,Hindi
SCH0545,Govt. Elementary School Prabhakar,Ferozepur,Ferozepur,432,Secondary,Hindi
SCH0546,Govt. Elementary School Prabhakar,Jalandhar,Phillaur,298,Upper Primary,English
SCH0547,Govt. Middle School Lad,Moga,Bagha Purana,251,Higher Secondary,Hindi
SCH0548,Govt. Elementary School Yohannan,Patiala,Rajpura,432,Secondary,Punjabi
SCH0549,Govt. Middle School Krishnamurthy,Ludhiana,Unassigned,185,Upper Primary,Hindi
SCH0550,Govt. Senior Secondary School Mittal,Patiala,Unassigned,51,Secondary,Punjabi
SCH0551,Govt. Middle School Tara,Moga,Unassigned,110,Upper Primary,Punjabi
SCH0552,Govt. Primary School Bhavsar,Patiala,Patiala,410,Higher Secondary,English
SCH0553,Govt. Elementary School Brar,Ludhiana,Machhiwara,80,Secondary,Punjabi
SCH0554,Govt. Primary School Din,Patiala,Patiala,364,Higher Secondary,Hindi
SCH0555,Govt. Elementary School Mukhopadhyay,Jalandhar,Nakodar,297,Upper Primary,Hindi
SCH0556,Govt. Middle School Dar,Amritsar,Unassigned,261,Higher Secondary,Hindi
SCH0557,Govt. Senior Secondary School Raghavan,Ludhiana,Machhiwara,174,Higher Secondary,Punjabi
SCH0558,Govt. Senior Secondary School Morar,Patiala,Rajpura,242,Upper Primary,English
SCH0559,Govt. Elementary School Bera,Ferozepur,Makhu,390,Primary,English
SCH0560,Govt. Senior Secondary School Rajagopalan,Patiala,Samana,216,Primary,Hindi
SCH0561,Govt. Middle School Mishra,Sangrur,Sunam,265,Upper Primary,Punjabi
SCH0562,Govt. Middle School Andra,Amritsar,Unassigned,164,Upper Primary,Punjabi
SCH0563,Govt. Senior Secondary School Nayak,Bathinda,Talwandi Sabo,281,Upper Primary,Hindi
SCH0564,Govt. Primary School Nair,Bathinda,Talwandi Sabo,358,Upper Primary,Hindi
SCH0565,Govt. Middle School Kibe,Ludhiana,Unassigned,127,Upper Primary,Punjabi
SCH0566,Govt. Primary School Ramachandran,Amritsar,Tarn Taran,378,Secondary,Punjabi
SCH0567,Govt. Elementary School Sawhney,Patiala,Rajpura,300,Primary,Hindi
SCH0568,Govt. Primary School Zachariah,Amritsar,Unassigned,141,Higher Secondary,Hindi
SCH0569,Govt. Middle School Gill,Bathinda,Rampura Phul,290,Upper Primary,English
SCH0570,Govt. Primary School Padmanabhan,Patiala,Samana,71,Higher Secondary,English
SCH0571,Govt. Elementary School Gaba,Patiala,Nabha,214,Upper Primary,Hindi
SCH0572,Govt. Middle School Dey,Patiala,Rajpura,163,Higher Secondary,Hindi
SCH0573,Govt. Middle School Thakkar,Patiala,Nabha,337,Upper Primary,Hindi
SCH0574,Govt. Primary School Deep,Jalandhar,Phillaur,434,Upper Primary,Hindi
SCH0575,Govt. Middle School Nair,Ludhiana,Doraha,251,Secondary,Hindi
SCH0576,Govt. Senior Secondary School Tripathi,Amritsar,Amritsar-II,134,Secondary,Hindi
SCH0577,Govt. Elementary School Magar,Ludhiana,Doraha,80,Higher Secondary,English
SCH0578,Govt. Primary School Narasimhan,Jalandhar,Phillaur,291,Upper Primary,Punjabi
SCH0579,Govt. Primary School Puri,Bathinda,Talwandi Sabo,153,Upper Primary,Punjabi
SCH0580,Govt. Primary School Apte,Sangrur,Malerkotla,274,Higher Secondary,Punjabi
SCH0581,Govt. Elementary School Srivastava,Moga,Nihal Singh Wala,353,Primary,Punjabi
SCH0582,Govt. Primary School Tiwari,Patiala,Rajpura,416,Higher Secondary,Punjabi
SCH0583,Govt. Middle School Dara,Ferozepur,Makhu,436,Higher Secondary,Punjabi
SCH0584,Govt. Senior Secondary School Sahota,Jalandhar,Phillaur,370,Primary,English
SCH0585,Govt. Primary School Bala,Sangrur,Sangrur,131,Upper Primary,Hindi
SCH0586,Govt. Elementary School Tailor,Amritsar,Amritsar-I,98,Secondary,Hindi
SCH0587,Govt. Senior Secondary School Verma,Jalandhar,Phillaur,321,Upper Primary,Hindi
SCH0588,Govt. Senior Secondary School Sahota,Jalandhar,Jalandhar-I,254,Higher Secondary,Hindi
SCH0589,Govt. Elementary School Sarraf,Patiala,Patiala,358,Primary,Punjabi
SCH0590,Govt. Elementary School Khare,Sangrur,Unassigned,151,Higher Secondary,Hindi
SCH0591,Govt. Senior Secondary School Anand,Ludhiana,Unassigned,320,Upper Primary,English
SCH0592,Govt. Primary School Ray,Ludhiana,Unassigned,56,Secondary,Punjabi
SCH0593,Govt. Middle School Iyer,Jalandhar,Jalandhar-II,384,Upper Primary,Punjabi
SCH0594,Govt. Primary School Murthy,Bathinda,Rampura Phul,228,Primary,Hindi
SCH0595,Govt. Primary School Char,Amritsar,Ajnala,208,Upper Primary,Hindi
SCH0596,Govt. Middle School Tank,Amritsar,Tarn Taran,410,Secondary,Hindi
SCH0597,Govt. Senior Secondary School Zacharia,Moga,Moga-II,354,Higher Secondary,Hindi
SCH0598,Govt. Primary School Warrior,Bathinda,Maur,40,Higher Secondary,Hindi
SCH0599,Govt. Senior Secondary School Vala,Ferozepur,Mamdot,63,Upper Primary,English
SCH0600,Govt. Primary School Sandhu,Amritsar,Ajnala,193,Secondary,English
